Season,Team,WinLossPct,AvgPts,PtDiff,AvgRebounds,AvgAssists,AvgTurnovers,AvgFouls,FGPct,FTPct,ThPct,AvgStealsPlusBlocks,AvgPtsAgainst,OppFGPct,OppThPct
2016,1370,.43,64,-124,36,12,15,18,.42,.67,.35,7,68,.42,.34
2017,1434,.74,74,202,38,12,12,18,.45,.78,.33,9,68,.41,.32
2007,1147,.32,68,-203,34,13,15,21,.44,.72,.35,9,75,.47,.39
2010,1185,.50,65,4,36,12,13,18,.42,.65,.30,9,65,.44,.35
2015,1114,.40,68,-47,37,12,10,19,.42,.71,.34,8,70,.45,.36
2016,1178,.48,82,-47,39,12,13,22,.46,.70,.37,10,83,.47,.36
2009,1227,.50,66,29,37,12,13,16,.41,.77,.36,9,65,.41,.33
2010,1291,.52,65,86,37,11,13,17,.42,.64,.35,12,63,.41,.31
2014,1104,.39,66,-17,34,10,11,19,.44,.68,.33,10,67,.42,.31
2014,1399,.48,70,-109,36,11,15,22,.45,.67,.33,10,73,.46,.36
2015,1463,.67,65,132,35,12,12,17,.43,.71,.37,9,61,.43,.31
2003,1334,.43,65,-2,37,11,13,19,.41,.71,.33,8,66,.41,.35
2007,1193,.41,62,-74,32,12,14,19,.41,.71,.33,10,64,.44,.34
2008,1257,.75,71,339,38,14,13,18,.45,.65,.34,13,61,.38,.31
2011,1301,.48,70,7,39,14,12,17,.44,.69,.33,10,70,.42,.32
2012,1365,.21,68,-217,38,12,11,21,.40,.71,.36,7,76,.47,.37
2011,1155,.66,68,234,35,12,13,18,.44,.69,.35,12,60,.40,.32
2012,1219,.38,69,-52,35,12,12,18,.43,.69,.41,7,71,.44,.34
2005,1265,.39,70,-76,36,15,13,17,.44,.68,.38,8,72,.44,.34
2006,1329,.53,70,154,33,15,17,19,.48,.74,.36,11,65,.44,.35
2011,1175,.25,61,-162,31,11,10,15,.42,.72,.34,11,66,.49,.36
2012,1239,.27,65,-222,37,12,14,22,.42,.66,.32,10,72,.47,.36
2004,1178,.63,64,161,32,14,13,18,.46,.69,.35,9,59,.41,.33
2005,1242,.79,75,296,37,16,14,19,.48,.69,.37,10,65,.39,.32
2009,1141,.39,62,-90,34,9,14,22,.42,.63,.34,10,65,.45,.36
2010,1205,.19,67,-345,39,13,17,20,.41,.66,.34,8,80,.48,.35
2011,1152,.14,65,-662,40,12,17,23,.40,.64,.30,8,87,.48,.38
2012,1216,.29,60,-224,34,13,15,19,.41,.67,.31,8,67,.45,.36
2016,1115,.24,56,-455,35,9,15,21,.39,.61,.30,10,70,.44,.32
2017,1394,.61,73,35,35,12,13,20,.47,.72,.33,12,72,.44,.34
2007,1276,.64,64,144,35,13,14,16,.45,.72,.34,11,59,.41,.34
2008,1340,.70,74,173,34,15,14,17,.47,.67,.40,10,68,.45,.35
2016,1138,.58,76,22,39,12,13,21,.43,.71,.34,10,75,.44,.34
2016,1307,.53,76,84,36,14,15,20,.47,.74,.36,9,73,.42,.32
2017,1202,.63,72,161,34,14,12,18,.47,.70,.38,9,67,.43,.32
2017,1371,.66,73,100,40,12,13,18,.45,.64,.34,9,70,.43,.34
2003,1400,.79,78,285,42,14,13,20,.45,.71,.35,10,68,.41,.35
2004,1464,.26,65,-190,33,12,16,21,.44,.68,.33,9,72,.47,.34
2005,1454,.81,73,265,37,13,13,19,.44,.70,.35,11,64,.41,.30
2007,1299,.43,71,-34,36,12,16,18,.43,.67,.34,9,73,.44,.35
2008,1363,.41,66,-171,36,11,15,17,.43,.67,.32,8,72,.46,.36
2010,1417,.44,66,-56,34,15,14,16,.47,.63,.32,10,68,.45,.36
2012,1408,.45,63,43,35,12,12,17,.42,.66,.33,10,62,.42,.33
2011,1195,.33,65,-215,38,12,16,18,.40,.65,.33,8,72,.45,.37
2012,1259,.75,67,121,37,12,13,18,.43,.72,.34,12,63,.43,.36
2012,1431,.47,63,2,32,13,13,16,.46,.68,.34,7,63,.42,.33
2003,1420,.26,63,-182,35,13,16,18,.43,.67,.28,10,69,.43,.37
2007,1107,.72,68,121,35,13,13,19,.46,.72,.38,8,64,.44,.34
2009,1161,.30,68,-151,34,10,13,19,.43,.72,.35,8,73,.49,.37
2010,1397,.76,73,287,38,14,13,19,.45,.67,.31,11,64,.39,.29
2011,1218,.59,68,34,35,11,15,19,.45,.69,.36,9,67,.40,.33
2011,1461,.28,64,-194,34,10,14,18,.42,.67,.28,11,71,.46,.38
2012,1282,.33,64,-202,32,12,13,19,.43,.69,.38,8,71,.48,.35
2012,1451,.79,75,158,35,12,10,18,.45,.81,.38,7,69,.44,.37
2003,1443,.74,73,207,36,14,15,18,.46,.66,.37,10,66,.43,.30
2007,1256,.33,64,-159,39,11,14,20,.41,.62,.30,10,69,.45,.38
2008,1320,.55,61,14,33,11,12,18,.44,.73,.34,7,60,.40,.36
2009,1310,.76,76,302,40,14,13,18,.42,.71,.31,14,67,.41,.33
2010,1374,.41,65,23,33,10,13,17,.46,.71,.35,7,64,.43,.36
2003,1463,.50,68,36,35,14,15,18,.44,.74,.36,9,66,.43,.34
2009,1290,.22,63,-359,40,11,15,22,.38,.68,.32,9,74,.49,.35
2010,1354,.52,69,-17,35,12,15,19,.44,.74,.30,9,69,.44,.32
2014,1124,.67,73,178,39,14,11,17,.45,.67,.38,10,68,.43,.37
2016,1264,.42,68,-135,33,14,14,21,.43,.74,.36,9,73,.47,.34
2017,1328,.35,72,-37,39,10,13,19,.42,.72,.34,11,74,.43,.36
2004,1135,.50,71,-32,36,15,15,18,.45,.70,.37,12,72,.44,.36
2005,1199,.37,68,-65,34,12,16,19,.45,.67,.36,9,70,.43,.34
2012,1388,.83,73,328,36,15,11,15,.47,.73,.34,9,62,.43,.37
2013,1452,.41,66,-62,37,12,13,19,.41,.69,.32,11,68,.45,.38
2016,1158,.53,64,70,36,11,12,20,.42,.67,.34,9,62,.43,.32
2003,1251,.48,65,-116,37,11,18,20,.40,.74,.30,11,69,.43,.36
2005,1391,.35,66,-175,36,10,15,18,.43,.71,.32,9,73,.46,.34
2006,1455,.74,68,210,37,14,12,15,.44,.73,.37,7,61,.41,.33
2007,1362,.40,73,-69,36,12,15,19,.45,.70,.37,11,76,.45,.36
2008,1426,.61,72,71,37,13,17,20,.47,.68,.35,8,69,.40,.32
2017,1457,.80,79,243,37,12,13,18,.45,.72,.38,11,71,.41,.32
2007,1127,.45,65,-13,36,10,14,20,.42,.68,.35,9,66,.44,.33
2013,1166,.79,75,418,35,17,12,16,.51,.75,.42,7,63,.41,.31
2014,1230,.60,76,34,35,14,13,19,.46,.70,.37,10,74,.45,.42
2014,1316,.47,70,-126,38,11,15,18,.43,.70,.35,8,74,.46,.36
2015,1380,.47,62,-55,38,9,13,20,.41,.64,.31,10,64,.39,.30
2005,1434,.48,70,-87,35,15,15,19,.45,.73,.42,5,73,.46,.36
2007,1319,.57,82,10,36,17,16,22,.49,.75,.44,7,81,.49,.39
2008,1383,.24,67,-184,39,12,16,18,.41,.64,.31,9,73,.47,.36
2009,1204,.24,69,-284,37,11,14,19,.43,.66,.34,9,79,.48,.38
2010,1268,.73,79,337,39,16,11,16,.47,.72,.39,12,68,.39,.33
2017,1414,.58,68,112,39,12,13,21,.44,.69,.35,9,65,.38,.32
2004,1221,.48,62,133,37,14,13,19,.41,.58,.34,15,57,.40,.32
2005,1285,.57,69,7,34,13,17,17,.46,.68,.35,9,69,.42,.33
2016,1201,.72,74,111,38,13,10,22,.43,.70,.34,11,71,.42,.33
2017,1265,.25,69,-307,34,11,12,19,.43,.73,.33,7,79,.46,.38
2009,1247,.58,71,72,38,13,14,17,.44,.69,.34,10,68,.43,.36
2010,1311,.31,63,-198,31,12,13,21,.42,.70,.33,9,71,.52,.41
2011,1132,.41,63,-125,36,13,13,18,.43,.64,.29,11,67,.44,.35
2012,1196,.70,76,338,36,15,10,15,.46,.71,.39,9,66,.43,.36
2003,1357,.25,68,-237,39,13,15,19,.41,.71,.34,11,77,.49,.35
2006,1106,.40,66,-132,38,10,15,21,.41,.63,.31,8,70,.45,.35
2007,1170,.30,73,-258,41,12,14,22,.41,.62,.32,13,83,.52,.40
2010,1460,.63,67,213,32,13,11,18,.44,.73,.37,7,60,.44,.36
2014,1273,.74,77,302,38,15,12,19,.47,.73,.39,10,67,.41,.31
2015,1337,.57,63,50,34,13,12,17,.43,.75,.32,9,61,.41,.27
2005,1348,.21,57,-174,38,10,14,18,.37,.65,.30,9,64,.42,.36
2006,1412,.79,73,247,32,15,12,18,.45,.65,.35,14,65,.42,.36
2008,1137,.39,62,-98,33,12,16,20,.42,.68,.34,8,65,.42,.32
2009,1201,.38,67,-73,36,14,14,16,.44,.67,.35,11,69,.44,.33
2014,1379,.81,70,228,35,13,13,21,.45,.70,.34,9,63,.42,.34
2015,1443,.60,69,47,37,13,12,18,.43,.66,.36,8,68,.43,.33
2005,1371,.43,62,-29,38,12,14,19,.40,.71,.34,10,63,.41,.34
2006,1435,.59,70,103,33,15,12,16,.46,.70,.39,9,66,.44,.35
2008,1114,.62,64,29,36,12,16,20,.42,.66,.35,9,63,.41,.30
2014,1356,.41,66,-22,34,9,11,18,.45,.68,.33,9,66,.44,.34
2015,1420,.13,56,-331,33,11,15,15,.41,.64,.33,9,67,.45,.36
2006,1458,.63,71,189,39,13,11,17,.43,.66,.34,8,64,.42,.34
2003,1128,.65,67,82,33,13,15,18,.44,.72,.36,11,64,.44,.36
2004,1115,.04,52,-598,39,9,19,21,.34,.64,.28,7,74,.42,.31
2005,1179,.45,69,-67,38,12,15,16,.42,.72,.33,11,71,.46,.39
2012,1159,.27,63,-316,34,12,14,19,.43,.69,.38,5,73,.45,.38
2013,1223,.39,60,-200,36,10,17,19,.40,.67,.31,9,68,.43,.32
2014,1210,.48,66,-4,37,13,12,17,.43,.68,.32,9,66,.42,.33
2015,1274,.64,68,174,35,13,10,15,.43,.74,.36,8,63,.43,.34
2003,1151,.68,79,118,37,16,16,18,.48,.76,.37,10,75,.46,.36
2012,1136,.07,61,-409,35,12,14,18,.40,.69,.30,6,75,.48,.37
2014,1233,.69,83,201,34,17,10,17,.49,.71,.40,10,77,.45,.34
2015,1297,.39,68,-66,35,11,11,20,.45,.67,.33,8,70,.44,.35
2003,1174,.52,68,9,38,14,13,19,.41,.71,.34,11,68,.43,.34
2004,1238,.41,63,-65,38,11,17,22,.39,.67,.32,13,65,.41,.33
2004,1407,.82,83,302,38,17,11,14,.44,.72,.36,15,72,.44,.34
2005,1225,.25,60,-151,37,10,12,17,.40,.63,.31,8,66,.45,.34
2013,1269,.66,73,55,37,14,14,19,.44,.72,.34,12,71,.42,.32
2014,1333,.52,75,9,34,13,13,19,.48,.70,.39,9,74,.44,.36
2004,1138,.59,75,103,36,13,15,21,.46,.67,.38,10,71,.46,.37
2004,1261,.64,66,82,37,12,14,15,.44,.65,.34,10,63,.41,.35
2004,1384,.46,66,-83,33,11,13,15,.44,.73,.37,8,69,.48,.36
2005,1202,.48,67,-6,34,14,15,17,.44,.69,.36,10,67,.45,.36
2005,1325,.68,71,119,34,11,13,17,.46,.70,.32,11,67,.44,.37
2005,1448,.84,84,350,40,15,14,19,.49,.69,.40,12,73,.43,.37
2013,1123,.48,64,-103,35,11,15,17,.43,.65,.33,8,68,.45,.35
2013,1246,.66,73,271,38,13,13,17,.47,.64,.35,12,64,.39,.32
2014,1187,.45,70,-36,34,12,12,17,.43,.72,.37,8,72,.46,.31
2014,1310,.21,75,-225,38,10,13,23,.43,.68,.30,9,82,.49,.38
2006,1335,.70,69,241,33,14,13,17,.45,.68,.32,12,60,.42,.37
2007,1150,.47,70,-50,39,12,12,19,.40,.70,.33,7,71,.46,.39
2007,1399,.58,74,68,39,13,15,20,.45,.66,.34,10,71,.42,.32
2010,1188,.12,60,-414,37,11,14,20,.38,.71,.31,7,76,.47,.37
2011,1252,.55,75,49,39,15,15,20,.45,.71,.33,10,73,.44,.33
2013,1392,.77,67,310,38,12,11,15,.44,.71,.35,10,56,.38,.31
2014,1456,.61,72,25,33,13,10,16,.48,.69,.40,8,71,.46,.37
2016,1181,.70,81,310,38,13,9,16,.46,.72,.39,10,72,.45,.34
2016,1430,.33,74,-162,39,14,13,21,.41,.73,.35,8,80,.45,.33
2017,1245,.62,75,105,40,12,13,19,.43,.72,.31,9,72,.43,.35
2003,1274,.39,69,32,37,14,16,19,.43,.72,.33,13,68,.44,.36
2007,1445,.08,57,-525,39,10,16,21,.35,.63,.30,9,77,.50,.37
2011,1298,.33,67,-153,37,12,14,20,.39,.71,.30,11,73,.45,.35
2012,1113,.32,61,-165,31,12,16,17,.45,.68,.36,9,66,.43,.37
2012,1362,.58,75,80,35,13,13,18,.47,.70,.36,10,72,.47,.39
2015,1320,.91,65,365,30,11,10,14,.48,.73,.40,8,54,.39,.32
2016,1135,.26,73,-141,37,14,13,19,.43,.71,.36,9,78,.44,.37
2016,1384,.41,69,-102,37,11,12,17,.42,.70,.36,7,72,.45,.32
2011,1444,.61,71,53,38,12,13,19,.44,.71,.35,9,69,.44,.36
2009,1370,.62,67,53,33,13,11,17,.45,.70,.34,12,65,.45,.35
2010,1434,.41,72,-94,33,14,13,20,.46,.72,.36,8,75,.46,.37
2006,1232,.43,63,-147,34,13,13,16,.42,.70,.35,9,68,.47,.36
2007,1296,.21,66,-169,31,14,18,18,.47,.71,.36,8,72,.46,.36
2010,1334,.65,65,155,36,12,11,17,.44,.66,.34,8,60,.41,.35
2011,1398,.43,66,-67,33,12,15,18,.43,.75,.38,9,69,.45,.34
2017,1437,.91,77,506,33,14,11,14,.50,.79,.37,10,62,.42,.31
2007,1196,.85,79,604,37,15,14,15,.53,.68,.41,11,61,.40,.29
2008,1260,.34,59,-136,34,9,12,18,.40,.72,.28,8,64,.45,.37
2017,1291,.56,68,-9,33,11,13,18,.44,.67,.36,10,68,.45,.34
2008,1160,.35,61,-84,32,13,13,17,.45,.68,.34,10,64,.44,.36
2008,1406,.42,65,-106,36,14,11,17,.41,.67,.33,11,68,.44,.36
2009,1224,.26,61,-286,34,10,16,17,.42,.64,.32,8,70,.45,.35
2017,1145,.55,78,27,35,17,13,19,.45,.73,.37,8,77,.48,.35
2017,1391,.28,75,-254,39,12,11,19,.44,.66,.33,6,84,.47,.36
2008,1386,.64,73,200,33,14,12,17,.48,.73,.38,11,67,.43,.37
2009,1450,.53,59,136,33,12,11,15,.43,.77,.35,8,55,.39,.36
2011,1341,.24,60,-315,42,10,14,20,.37,.58,.30,9,71,.43,.34
2012,1405,.50,68,15,34,12,13,17,.45,.72,.37,8,67,.43,.33
2017,1417,.88,90,496,39,21,11,16,.52,.74,.41,11,75,.42,.36
2003,1231,.63,70,113,37,13,11,18,.43,.71,.35,9,67,.41,.29
2003,1397,.61,68,68,34,15,15,17,.46,.73,.37,9,66,.42,.34
2008,1409,.61,70,173,38,12,16,17,.45,.73,.36,11,65,.41,.33
2003,1254,.32,75,-166,41,14,17,20,.44,.68,.31,8,81,.46,.36
2003,1423,.80,71,353,34,14,11,18,.46,.69,.37,11,59,.40,.30
2004,1318,.61,74,44,40,13,14,19,.41,.65,.33,11,73,.46,.33
2006,1209,.24,65,-180,36,12,14,18,.41,.66,.35,10,71,.46,.36
2007,1273,.39,71,-175,39,12,17,16,.43,.71,.30,10,78,.43,.34
2012,1285,.79,71,262,33,13,12,18,.47,.72,.38,10,62,.40,.32
2013,1349,.14,60,-323,33,11,10,18,.40,.72,.33,7,71,.49,.37
2009,1144,.43,71,-28,38,15,16,20,.43,.70,.35,10,72,.44,.34
2010,1208,.45,68,-22,35,13,15,16,.46,.72,.37,10,69,.43,.33
2011,1149,.43,69,-8,37,11,14,18,.43,.75,.35,11,69,.46,.34
2013,1326,.79,69,375,36,13,10,15,.45,.69,.35,11,57,.39,.32
2014,1107,.56,66,70,35,11,12,17,.44,.75,.36,8,63,.42,.35
2015,1171,.50,62,21,34,12,12,19,.44,.65,.35,11,62,.43,.35
2016,1161,.50,78,25,40,13,11,19,.42,.72,.36,6,78,.45,.35
2016,1284,.79,79,263,39,12,12,21,.44,.77,.37,11,71,.39,.31
2017,1225,.55,72,3,38,12,13,21,.43,.71,.36,7,72,.41,.35
2017,1348,.73,73,280,38,13,11,20,.45,.66,.34,12,64,.40,.29
2006,1166,.68,66,147,35,13,13,17,.42,.69,.36,11,61,.41,.33
2007,1153,.37,64,-95,37,12,12,18,.41,.66,.31,9,67,.45,.38
2008,1217,.27,68,-177,35,13,15,17,.45,.73,.32,10,74,.47,.35
2010,1108,.06,60,-662,39,8,20,21,.38,.61,.31,10,82,.46,.38
2011,1172,.53,70,47,38,12,14,22,.42,.73,.34,7,68,.44,.34
2015,1197,.07,55,-508,36,8,14,17,.37,.65,.28,7,72,.47,.35
2016,1261,.58,78,59,39,15,11,18,.46,.66,.33,10,77,.45,.35
2004,1387,.60,62,97,33,13,12,17,.43,.70,.34,8,59,.41,.33
2005,1451,.45,65,-58,35,13,13,16,.44,.73,.32,5,67,.46,.36
2006,1189,.46,65,-105,35,13,15,18,.43,.69,.32,9,69,.43,.35
2007,1130,.65,74,148,36,14,14,15,.48,.72,.35,11,69,.44,.33
2007,1253,.77,80,199,38,14,13,17,.46,.71,.37,10,73,.44,.38
2008,1194,.45,71,-81,36,12,16,21,.45,.67,.37,8,74,.45,.36
2011,1464,.25,68,-205,38,14,12,20,.41,.61,.33,11,75,.46,.36
2012,1305,.81,70,185,38,12,13,16,.45,.65,.37,10,64,.41,.33
2012,1428,.17,55,-444,32,10,14,16,.40,.66,.31,7,70,.47,.39
2013,1369,.48,72,17,37,15,12,18,.46,.69,.39,10,72,.41,.33
2004,1361,.43,70,-25,37,14,12,18,.42,.70,.32,10,71,.45,.36
2007,1173,.61,66,24,34,12,14,19,.45,.69,.38,7,66,.43,.34
2008,1237,.77,74,287,30,14,12,17,.50,.78,.42,10,65,.44,.35
2009,1350,.53,69,67,33,11,11,19,.46,.68,.33,10,67,.44,.34
2010,1414,.40,66,-102,36,12,11,19,.42,.72,.34,8,70,.45,.39
2013,1120,.28,64,-127,36,12,13,20,.41,.70,.31,10,68,.43,.35
2013,1249,.10,60,-536,36,11,18,16,.41,.70,.30,8,77,.45,.36
2014,1313,.53,68,-16,35,13,13,19,.45,.69,.34,10,69,.43,.35
2016,1453,.64,83,89,41,13,12,19,.44,.66,.35,13,80,.45,.36
2008,1180,.38,59,-160,36,12,15,18,.41,.63,.31,10,64,.42,.33
2009,1158,.76,76,165,37,13,12,16,.47,.66,.37,11,72,.44,.35
2009,1244,.21,57,-310,36,10,14,17,.38,.65,.31,11,68,.47,.36
2017,1125,.78,76,178,35,16,12,17,.47,.77,.34,7,70,.43,.32
2003,1105,.27,71,-127,40,14,18,20,.40,.71,.36,11,76,.46,.36
2004,1218,.62,69,114,35,15,13,16,.45,.73,.34,9,66,.43,.32
2005,1245,.60,68,91,35,14,13,18,.43,.69,.35,10,65,.45,.35
2005,1282,.54,72,14,35,14,12,17,.45,.69,.36,9,71,.46,.38
2006,1309,.30,63,-179,36,13,14,17,.42,.65,.34,9,70,.46,.36
2007,1422,.53,69,28,36,12,15,17,.43,.66,.34,12,68,.43,.33
2011,1321,.58,71,116,33,16,9,17,.45,.72,.38,9,67,.47,.35
2012,1385,.41,66,-139,37,10,13,16,.42,.68,.28,11,70,.44,.34
2010,1357,.48,71,-36,39,14,15,18,.44,.62,.40,10,73,.46,.36
2011,1421,.55,71,87,37,14,15,19,.45,.70,.33,13,68,.42,.34
2013,1312,.48,67,17,38,11,15,20,.40,.67,.36,12,66,.39,.33
2014,1376,.41,68,-53,36,12,14,22,.41,.71,.38,10,69,.44,.33
2003,1354,.67,72,46,38,10,19,20,.46,.70,.33,10,71,.41,.34
2009,1393,.74,80,274,40,18,15,15,.49,.64,.35,12,72,.41,.30
2010,1457,.57,62,19,41,10,12,18,.38,.64,.26,12,61,.40,.30
2014,1276,.76,74,298,32,14,9,14,.48,.76,.39,7,65,.44,.32
2015,1340,.48,70,-78,34,12,11,17,.43,.74,.37,9,73,.46,.38
2008,1429,.70,74,185,32,17,13,17,.52,.79,.40,7,68,.44,.37
2010,1314,.50,75,92,42,15,15,15,.44,.66,.34,12,72,.41,.34
2011,1129,.61,73,185,36,12,12,18,.43,.72,.34,11,67,.45,.37
2011,1378,.30,61,-152,35,12,15,19,.42,.71,.30,8,66,.43,.34
2015,1240,.34,61,-236,37,11,12,19,.38,.71,.30,10,69,.46,.36
2016,1304,.47,72,111,38,11,11,19,.45,.73,.35,10,68,.44,.37
2017,1119,.39,72,-54,39,16,14,19,.44,.66,.35,7,73,.44,.34
2010,1165,.86,75,308,33,16,12,18,.48,.73,.44,10,64,.42,.35
2017,1268,.74,73,155,36,14,13,18,.45,.70,.37,9,68,.42,.34
2004,1450,.43,57,-58,33,11,12,17,.40,.76,.34,7,59,.46,.35
2005,1182,.27,67,-225,37,14,13,20,.42,.76,.32,10,74,.44,.37
2006,1246,.64,70,160,37,14,13,16,.45,.66,.36,9,65,.42,.33
2009,1367,.30,60,-243,36,12,15,16,.40,.66,.32,10,68,.42,.38
2011,1424,.75,71,297,36,15,12,19,.46,.69,.33,11,62,.40,.32
2014,1213,.46,70,-76,36,12,12,20,.42,.74,.34,6,73,.45,.36
2015,1277,.68,71,288,38,17,11,18,.47,.63,.39,9,63,.40,.32
2017,1334,.31,65,-213,39,11,11,20,.40,.68,.32,5,72,.45,.36
2005,1205,.57,71,62,39,14,15,17,.43,.71,.32,10,69,.43,.33
2006,1269,.46,64,31,36,13,17,18,.44,.64,.31,13,63,.41,.33
2007,1216,.42,62,-104,34,11,12,19,.41,.68,.29,9,65,.45,.37
2008,1280,.69,73,257,40,13,15,16,.46,.64,.33,13,65,.37,.32
2011,1447,.43,67,-86,31,13,15,24,.43,.77,.37,9,70,.43,.35
2012,1179,.52,66,-17,35,10,13,20,.44,.65,.36,9,66,.43,.31
2013,1243,.79,68,240,36,16,11,18,.43,.69,.36,10,61,.43,.33
2003,1340,.16,57,-226,33,9,18,20,.39,.67,.33,7,66,.44,.34
2004,1404,.31,70,-152,38,15,15,19,.43,.67,.31,10,76,.46,.33
2009,1413,.41,73,-34,33,15,14,19,.46,.78,.36,8,74,.47,.35
2010,1145,.47,66,-35,37,12,14,18,.41,.70,.31,9,67,.42,.33
2012,1202,.45,63,-62,35,10,13,19,.41,.71,.34,8,65,.44,.31
2013,1266,.74,69,194,35,14,13,16,.47,.72,.30,10,62,.41,.32
2013,1435,.48,60,7,35,11,12,16,.41,.63,.35,8,60,.41,.31
2004,1427,.57,72,-6,38,12,17,19,.43,.70,.36,9,72,.42,.34
2008,1326,.59,67,186,36,14,13,14,.45,.70,.33,11,61,.38,.31
2009,1390,.58,72,125,33,15,12,16,.46,.71,.38,9,68,.48,.36
2014,1353,.34,69,-195,37,12,12,20,.42,.70,.33,10,75,.45,.37
2017,1311,.37,72,-252,37,13,14,19,.42,.74,.33,12,82,.48,.42
2004,1281,.55,74,50,38,14,14,19,.45,.71,.35,10,72,.44,.38
2005,1345,.25,62,-144,33,12,14,18,.42,.68,.30,8,68,.45,.40
2015,1108,.17,63,-324,38,8,11,17,.39,.66,.28,8,74,.47,.38
2003,1194,.22,69,-226,41,12,16,23,.39,.67,.34,12,77,.46,.35
2004,1258,.50,67,-61,36,14,14,19,.44,.69,.31,10,69,.44,.33
2015,1131,.41,67,-73,33,12,12,17,.45,.70,.37,7,70,.45,.37
2016,1410,.19,64,-368,37,14,12,17,.41,.67,.33,7,78,.47,.35
2003,1171,.27,59,-135,32,13,12,18,.41,.70,.36,8,64,.43,.35
2004,1235,.57,73,21,38,14,14,17,.46,.64,.36,12,73,.43,.35
2006,1292,.56,69,-7,36,12,14,19,.43,.71,.34,8,70,.45,.37
2006,1461,.42,66,-37,38,10,17,19,.42,.66,.30,12,67,.41,.31
2007,1356,.81,63,190,29,11,13,20,.45,.69,.37,9,57,.42,.36
2015,1154,.30,62,-222,29,12,13,15,.44,.77,.40,6,70,.49,.35
2015,1323,.85,78,448,33,15,9,14,.51,.74,.39,10,65,.43,.33
2016,1218,.83,77,324,38,15,13,20,.46,.69,.33,11,66,.40,.31
2016,1387,.34,65,-199,35,13,13,20,.42,.70,.33,7,72,.43,.33
2003,1148,.54,67,12,33,11,15,15,.46,.75,.38,7,67,.47,.34
2006,1438,.52,68,22,38,11,14,18,.42,.75,.34,9,67,.43,.32
2007,1379,.59,67,86,38,10,14,20,.42,.66,.35,9,64,.41,.34
2011,1192,.17,64,-242,39,11,15,19,.40,.68,.32,9,72,.44,.37
2015,1300,.76,64,284,34,12,12,18,.46,.68,.35,9,54,.37,.28
2016,1364,.57,70,83,37,14,12,20,.44,.71,.36,8,68,.41,.30
2003,1131,.67,68,145,36,13,13,20,.43,.74,.34,9,63,.41,.31
2013,1226,.17,56,-236,32,10,11,15,.41,.68,.31,10,64,.45,.37
2014,1290,.21,68,-369,40,10,14,22,.40,.67,.31,9,81,.50,.37
2015,1260,.57,61,32,30,12,12,15,.46,.68,.39,8,60,.44,.31
2016,1324,.66,86,237,41,15,11,19,.46,.77,.40,9,78,.43,.35
2006,1123,.31,62,-76,34,11,14,22,.43,.66,.36,10,65,.43,.38
2008,1263,.21,63,-290,35,11,18,19,.41,.68,.34,8,73,.44,.36
2012,1116,.56,71,68,37,13,12,19,.43,.69,.35,13,69,.43,.32
2013,1180,.42,63,-3,35,11,11,18,.41,.75,.34,6,63,.43,.34
2017,1102,.32,71,-126,37,14,12,17,.43,.72,.36,7,75,.46,.37
2017,1188,.18,68,-251,38,10,14,22,.41,.68,.29,7,77,.47,.33
2005,1268,.57,82,156,43,15,15,19,.44,.73,.34,14,76,.42,.36
2006,1332,.44,69,114,34,13,12,17,.46,.67,.33,8,65,.45,.36
2010,1191,.28,63,-150,34,13,14,21,.43,.73,.35,6,69,.44,.35
2011,1255,.30,71,-335,36,15,14,19,.44,.69,.34,6,84,.50,.36
2015,1363,.00,52,-508,36,9,13,18,.35,.66,.29,7,70,.47,.39
2016,1427,.13,71,-390,39,11,13,22,.41,.70,.32,8,84,.51,.41
2017,1248,.28,65,-324,35,12,14,16,.43,.71,.33,7,76,.46,.38
2005,1119,.04,54,-372,30,10,15,16,.39,.76,.34,6,69,.45,.36
2006,1183,.22,59,-235,33,13,14,17,.42,.74,.38,9,67,.43,.34
2008,1157,.40,66,-139,36,14,13,16,.43,.67,.36,7,72,.45,.37
2009,1221,.56,64,75,36,14,15,19,.43,.68,.31,11,62,.42,.34
2012,1265,.44,68,-157,36,12,15,16,.42,.72,.36,10,72,.46,.37
2013,1329,.75,72,305,37,12,12,17,.44,.75,.32,12,62,.39,.32
2017,1142,.31,66,-188,37,9,10,19,.40,.70,.33,8,73,.47,.40
2006,1375,.79,74,238,34,14,13,18,.45,.70,.37,9,65,.44,.30
2007,1439,.65,72,214,35,13,10,18,.47,.67,.37,13,65,.42,.35
2007,1442,.18,61,-276,34,10,14,19,.41,.67,.31,8,71,.47,.41
2003,1234,.54,69,79,35,14,15,17,.45,.72,.29,10,66,.42,.33
2004,1298,.12,54,-432,37,12,19,20,.39,.58,.30,10,71,.48,.40
2006,1229,.30,55,-104,34,12,16,17,.41,.62,.32,11,59,.41,.36
2007,1293,.52,65,-18,34,13,15,20,.44,.68,.36,10,66,.41,.31
2008,1111,.57,71,62,35,13,15,17,.47,.68,.39,10,69,.42,.35
2010,1337,.21,65,-272,38,10,13,19,.39,.70,.34,7,75,.46,.36
2011,1401,.74,68,221,36,13,13,18,.44,.70,.34,8,61,.41,.32
2014,1150,.55,71,-6,39,13,14,18,.44,.65,.36,8,71,.44,.33
2015,1214,.48,67,-28,39,10,14,21,.41,.65,.30,10,68,.41,.34
2006,1163,.90,81,477,44,15,14,15,.47,.70,.36,15,65,.37,.30
